type,origin,destination,weight
total,150132,150119,1966
total,150132,150120,2658
total,150132,150122,10502
total,150132,150123,468
total,150132,150124,149
total,150132,150125,1291
total,150132,150126,135
total,150132,150127,42
total,150132,150128,6302
total,150132,150129,83
total,150132,150130,8715
total,150132,150131,13059
total,150132,150132,507891
total,150132,150133,1904
total,150132,150134,2838
total,150132,150135,3867
total,150132,150136,4650
total,150132,150137,8938
total,150132,150138,9
total,150132,150139,24
total,150132,150140,11758
total,150132,150141,3703
total,150132,150142,2366
total,150132,150143,935
total,150133,150101,9982
total,150133,150102,66
total,150133,150103,2722
total,150133,150104,1542
total,150133,150105,1101
total,150133,150106,77
total,150133,150107,65
total,150133,150108,9931
total,150133,150109,82
total,150133,150110,345
total,150133,150111,525
total,150133,150112,356
total,150133,150113,2817
total,150133,150114,3687
total,150133,150115,4761
total,150133,150116,2386
total,150133,150117,1057
total,150133,150118,623
total,150133,150119,2249
total,150133,150120,950
total,150133,150122,11412
total,150133,150123,554
total,150133,150124,113
total,150133,150125,252
total,150133,150126,210
total,150133,150127,53
total,150133,150128,774
total,150133,150129,97
total,150133,150130,6126
total,150133,150131,6902
total,150133,150132,1573
total,150133,150133,137594
total,150133,150134,1483
total,150133,150135,711
total,150133,150136,1327
total,150133,150137,1974
total,150133,150138,5
total,150133,150139,7
total,150133,150140,20348
total,150133,150141,4991
total,150133,150142,9208
total,150133,150143,5556
total,150134,150101,2412
total,150134,150102,7
total,150134,150103,1706
total,150134,150104,120
total,150134,150105,341
total,150134,150106,9
total,150134,150107,15
total,150134,150108,323
total,150134,150109,9
total,150134,150110,58
total,150134,150111,199
total,150134,150112,78
total,150134,150113,843
total,150134,150114,1145
total,150134,150115,4024
total,150134,150116,829
total,150134,150117,174
total,150134,150118,148
total,150134,150119,159
total,150134,150120,216
total,150134,150122,1101
total,150134,150123,52
total,150134,150124,13
total,150134,150125,32
total,150134,150126,2
total,150134,150127,1
