origin,destination,cases
010612,220801,2
010612,220803,8
010612,220804,7
010612,220901,1
010701,010101,80
010701,010109,3
010701,010110,4
010701,010201,80
010701,010202,6
010701,010203,6
010701,010205,14
010701,010206,4
010701,010301,4
010701,010306,1
010701,010307,17
010701,010312,3
010701,010401,8
010701,010501,3
010701,010502,1
010701,010503,1
010701,010504,1
010701,010509,2
010701,010514,1
010701,010518,1
010701,010519,1
010701,010520,2
010701,010521,3
010701,010601,2
010701,010609,2
010701,010610,1
010701,010612,1
010701,010701,32469
010701,010702,548
010701,010703,62
010701,010704,43
010701,010705,145
010701,010706,44
010701,010707,18
010701,021801,1
010701,021809,1
010701,060101,5
010701,060105,1
010701,060202,2
010701,060401,3
010701,060408,1
010701,060415,1
010701,060601,5
010701,060602,2
010701,060603,2
010701,060701,1
010701,060801,157
010701,060802,4
010701,060803,1
010701,060804,1
010701,060805,6
010701,060806,1
010701,060807,1
010701,060808,3
010701,060811,1
010701,060812,2
010701,060901,2
010701,060902,7
010701,060903,1
010701,060904,4
010701,130101,15
010701,130102,1
010701,130106,1
010701,130111,2
010701,130503,1
010701,131202,1
010701,140101,82
010701,140112,6
010701,140301,12
010701,150101,8
010701,150116,1
010701,150122,1
010701,150131,1
010701,150135,1
010701,150140,2
010701,150801,1
010701,160101,1
010701,160201,1
010701,220101,2
010701,220104,2
010701,220105,1
010701,220201,1
010701,220203,1
010701,220601,2
010701,220801,3
010701,220802,1
010701,220804,6
010701,220805,1
010701,220808,1
010701,220901,7
010701,220910,1
010701,250101,1
010701,250102,1
010702,010101,14
010702,010201,16
010702,010202,1
010702,010203,3
010702,010307,1
010702,010401,1
010702,010519,1
010702,010701,584
010702,010702,13647
010702,010703,3
010702,010704,2
010702,010705,53
010702,010706,2
010702,010707,2
010702,060101,1
010702,060106,1
010702,060601,1
010702,060606,1
010702,060801,25
010702,060806,1
010702,060907,1
010702,130403,1
010702,140101,4
010702,140301,2
010702,160201,2
010702,200101,1
010702,220101,8
010702,220205,1
010702,220804,2
010702,220805,1
010702,220901,1
010702,220905,1
010703,010101,4
010703,010201,4
010703,010202,3
010703,010509,1
010703,010701,20
010703,010703,4556
010703,010704,3
010703,010706,2
010703,010707,1
010703,021801,1
010703,060101,1
010703,060409,1
010703,060601,1
010703,060603,6
010703,060607,1
010703,060801,30
010703,060808,1
010703,060811,1
010703,060903,1
010703,130101,1
010703,130105,1
010703,131002,1
010703,140301,2
010703,200601,1
010703,220802,1
010703,220803,1
010704,010201,498
010704,010202,5
010704,010203,1
010704,010204,1
010704,010205,2
010704,010206,3
010704,010307,1
010704,010401,1
010704,010701,21
010704,010702,3
010704,010703,4
010704,010704,2756
010704,010705,1
010704,060408,1
010704,060601,2
010704,060611,1
010704,060612,1
010704,060801,24
010704,060812,1
010704,060903,1
010704,150101,3
010704,190301,1
010704,240101,1
010705,010101,14
010705,010201,2
010705,010307,3
010705,010509,1
010705,010520,10
010705,010701,69
010705,010702,26
010705,010705,3981
010705,010707,1
010705,060801,4
010705,060901,1
010705,140101,2
010705,220804,2
010705,220805,2
010705,220901,1
010706,010101,6
010706,010201,1
010706,010205,1
010706,010306,1
010706,010502,3
010706,010512,2
010706,010701,10
010706,010706,6402
010706,010707,55
010706,060101,1
010706,060417,1
010706,060801,12
010706,070101,1
010706,130101,3
010706,140101,5
010706,140301,2
010706,150101,1
010706,150130,1
010706,220804,1
010706,220805,1
010707,010201,1
010707,010701,10
010707,010702,1
010707,010703,31
010707,010706,13
010707,010707,1762
010707,021801,1
010707,060801,11
010707,060902,1
010707,140105,1
010707,150101,1
010707,150134,1
010707,160201,2
020101,010309,1
020101,020101,33015
020101,020102,7
020101,020103,3
020101,020104,2
020101,020105,6001
020101,020106,110
020101,020107,11
020101,020108,43
020101,020109,6
020101,020110,39
020101,020111,51
020101,020112,69
020101,020201,46
020101,020202,15
020101,020203,1
020101,020204,26
020101,020205,2
020101,020301,15
020101,020302,1
020101,020303,3
020101,020304,5
020101,020305,1
020101,020306,3
020101,020401,29
020101,020402,9
020101,020501,46
020101,020502,1
020101,020503,8
020101,020504,10
020101,020505,11
020101,020506,3
020101,020507,8
020101,020508,28
020101,020509,7
020101,020510,2
020101,020514,1
020101,020515,2
020101,020601,184
020101,020602,20
020101,020603,8
020101,020604,30
020101,020605,3
020101,020606,102
020101,020607,12
020101,020608,29
020101,020609,17
020101,020610,18
020101,020611,27
020101,020701,36
020101,020702,3
020101,020703,4
020101,020801,12
020101,020804,1
020101,020901,3
020101,020904,2
020101,020905,1
020101,020906,7
020101,021001,67
020101,021002,7
020101,021003,1
020101,021004,54
020101,021005,3
020101,021006,2
020101,021007,6
020101,021008,11
020101,021009,3
020101,021010,3
020101,021011,7
020101,021012,5
020101,021013,2
020101,021014,226
020101,021015,10
020101,021016,3
020101,021101,4
020101,021102,4
020101,021105,1
020101,021201,89
020101,021202,10
020101,021204,10
020101,021205,3
020101,021206,21
020101,021207,17
020101,021208,6
020101,021209,3
020101,021210,4
020101,021301,6
020101,021304,2
020101,021305,1
020101,021306,1
020101,021307,3
020101,021308,2
020101,021401,8
020101,021402,1
020101,021403,1
020101,021405,1
020101,021406,4
020101,021408,1
020101,021409,4
020101,021410,1
020101,021501,3
020101,021502,1
020101,021503,4
020101,021508,2
020101,021509,1
020101,021601,20
020101,021602,4
020101,021603,3
020101,021604,2
020101,021701,161
020101,021702,76
020101,021703,2
020101,021704,3
020101,021705,2
020101,021706,5
020101,021707,9
020101,021708,6
020101,021709,2
020101,021710,49
020101,021801,27
020101,021809,10
020101,021901,8
020101,021902,2
020101,021904,2
020101,021908,1
020101,021909,1
020101,021910,1
020101,022001,86
020101,022002,2
020101,022003,34
020101,022004,3
020101,022005,8
020101,022006,7
020101,022007,2
020101,022008,15
020101,040101,1
020101,070101,5
020101,100101,11
020101,100103,1
020101,100301,1
020101,100401,9
020101,100403,2
020101,100506,1
020101,100508,1
020101,100605,1
020101,100701,1
020101,100802,1
020101,101002,1
020101,101005,1
020101,101105,1
020101,120101,1
020101,130101,43
020101,130104,2
020101,130105,1
020101,130111,1
020101,130804,1
020101,130808,4
020101,130809,1
020101,130901,2
020101,130906,1
020101,131001,2
020101,131006,5
020101,131201,1
020101,131202,1
020101,140101,3
020101,140106,1
020101,150101,122
020101,150103,5
020101,150104,4
020101,150105,5
020101,150108,5
020101,150110,4
020101,150111,3
020101,150112,487
020101,150113,17
020101,150114,7
020101,150115,11
020101,150116,2
020101,150117,9
020101,150118,10
020101,150120,2
020101,150121,12
020101,150122,11
020101,150125,2
020101,150128,3
020101,150130,4
020101,150131,11
020101,150132,3
020101,150134,2
020101,150135,14
020101,150136,16
020101,150137,2
020101,150139,1
020101,150140,11
020101,150141,1
020101,150142,1
020101,150143,3
020101,150201,20
020101,150202,2
020101,150203,1
020101,150204,1
020101,150301,2
020101,150305,1
020101,150407,1
020101,150506,1
020101,150509,1
020101,150601,11
020101,150604,1
020101,150708,1
020101,150714,1
020101,150801,11
020101,150810,1
020101,150901,4
020101,150906,2
020101,160110,1
020101,200101,1
020101,250105,1
020102,020101,3
020102,020102,877
020102,020105,1
020102,020110,13
020102,020804,14
020102,021101,1
020102,021801,4
020102,150140,1
020103,020103,130
020103,020105,2
020103,020109,1
020103,020110,30
020103,020801,2
020103,020804,1
020104,020101,2
020104,020104,830
020104,020109,2
020104,020201,7
020104,020202,9
020104,021101,1
020104,021801,1
020104,150101,2
020105,020101,9869
020105,020102,16
020105,020103,2
020105,020104,1
020105,020105,38901
020105,020106,206
020105,020107,18
020105,020108,57
020105,020109,10
020105,020110,45
020105,020111,67
020105,020112,117
020105,020201,73
020105,020202,19
020105,020203,4
020105,020204,44
020105,020205,4
020105,020301,16
020105,020302,4
020105,020303,4
020105,020304,3
020105,020305,9
020105,020306,4
020105,020401,37
020105,020402,14
020105,020501,62
020105,020502,8
020105,020503,5
020105,020504,13
020105,020505,14
020105,020507,10
020105,020508,49
020105,020509,6
020105,020510,3
020105,020511,1
020105,020513,6
020105,020514,2
020105,020515,2
020105,020601,252
020105,020602,14
020105,020603,9
020105,020604,42
020105,020605,14
020105,020606,128
020105,020607,22
020105,020608,41
020105,020609,26
020105,020610,19
020105,020611,45
020105,020701,46
020105,020702,7
020105,020703,5
020105,020801,19
