ubigeo_ori,ubigeo_des,cases,dept_ori,prov_ori,distr_ori,dept_des,prov_des,distr_des
150501,150514,130,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,SAN LUIS
150501,150515,2,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,SANTA CRUZ DE FLORES
150501,150516,6,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,CANETE,ZUNIGA
150501,150601,7,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUARAL,HUARAL
150501,150604,2,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUARAL,AUCALLAMA
150501,150605,1,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUARAL,CHANCAY
150501,150701,5,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAROCHIRI,MATUCANA
150501,150713,1,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAROCHIRI,MARIATANA
150501,150714,7,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAROCHIRI,RICARDO PALMA
150501,150728,4,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAROCHIRI,SANTA EULALIA
150501,150732,4,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAROCHIRI,SURCO
150501,150801,23,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAURA,HUACHO
150501,150806,8,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAURA,HUAURA
150501,150810,2,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAURA,SANTA MARIA
150501,150812,2,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,HUAURA,VEGUETA
150501,151001,32,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,YAUYOS
150501,151002,2,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,ALIS
150501,151003,5,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,ALLAUCA
150501,151004,4,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,AYAVIRI
150501,151005,13,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,AZANGARO
150501,151006,1,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,CACRA
150501,151008,20,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,CATAHUASI
150501,151009,15,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,CHOCOS
150501,151011,5,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,COLONIA
150501,151012,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,HONGOS
150501,151015,11,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,HUANGASCAR
150501,151016,1,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,HUANTAN
150501,151019,10,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,LINCHA
150501,151020,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,MADEAN
150501,151022,2,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,OMAS
150501,151023,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,PUTINZA
150501,151025,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,QUINOCAY
150501,151026,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,SAN JOAQUIN
150501,151027,1,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,SAN PEDRO DE PILAS
150501,151028,3,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,TANTA
150501,151029,8,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,TAURIPAMPA
150501,151031,9,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,TUPE
150501,151032,29,LIMA,CANETE,SAN VICENTE DE CANETE,LIMA,YAUYOS,VINAC
150502,070101,11,LIMA,CANETE,ASIA,CALLAO,CALLAO,CALLAO
150502,070102,3,LIMA,CANETE,ASIA,CALLAO,CALLAO,BELLAVISTA
150502,070103,1,LIMA,CANETE,ASIA,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO
150502,070106,10,LIMA,CANETE,ASIA,CALLAO,CALLAO,VENTANILLA
150502,150101,20,LIMA,CANETE,ASIA,LIMA,LIMA,LIMA
150502,150102,1,LIMA,CANETE,ASIA,LIMA,LIMA,ANCON
150502,150103,21,LIMA,CANETE,ASIA,LIMA,LIMA,ATE
150502,150104,1,LIMA,CANETE,ASIA,LIMA,LIMA,BARRANCO
150502,150106,8,LIMA,CANETE,ASIA,LIMA,LIMA,CARABAYLLO
150502,150108,22,LIMA,CANETE,ASIA,LIMA,LIMA,CHORRILLOS
150502,150109,3,LIMA,CANETE,ASIA,LIMA,LIMA,CIENEGUILLA
150502,150110,13,LIMA,CANETE,ASIA,LIMA,LIMA,COMAS
150502,150111,7,LIMA,CANETE,ASIA,LIMA,LIMA,EL AGUSTINO
150502,150112,8,LIMA,CANETE,ASIA,LIMA,LIMA,INDEPENDENCIA
150502,150113,4,LIMA,CANETE,ASIA,LIMA,LIMA,JESUS MARIA
150502,150114,18,LIMA,CANETE,ASIA,LIMA,LIMA,LA MOLINA
150502,150115,8,LIMA,CANETE,ASIA,LIMA,LIMA,LA VICTORIA
150502,150116,4,LIMA,CANETE,ASIA,LIMA,LIMA,LINCE
150502,150117,10,LIMA,CANETE,ASIA,LIMA,LIMA,LOS OLIVOS
150502,150118,1,LIMA,CANETE,ASIA,LIMA,LIMA,LURIGANCHO
150502,150119,9,LIMA,CANETE,ASIA,LIMA,LIMA,LURIN
150502,150120,2,LIMA,CANETE,ASIA,LIMA,LIMA,MAGDALENA DEL MAR
